,date,open,high,low,close,adj_close,volume,stock
25,1962-02-13,5.76556304522923,30.3125,29.875,30.25,0.5048573613166809,8400,DTE
26,1962-02-21,0.11397664248943329,0.11619408428668976,0.113533154129982,0.11575059592723846,0.00641992874443531,56300,HPQ
27,1962-09-18,1.4010416269302368,1.4270833730697632,1.4010416269302368,1.421875,0.12388335913419724,204000,CAT
28,1962-04-27,5.76556304522923,10.375,10.0,10.25,1.792919397354126,31200,GT
29,1962-04-27,5.76556304522923,269.375,260.0,260.0,117.53242492675781,800,NAV
30,1962-01-18,0.09166129678487778,0.09353192895650864,0.09166129678487778,0.09290838986635208,0.03551724553108215,311400,DIS
31,1962-01-04,5.76556304522923,11.0625,10.78125,10.875,1.8925178050994873,29200,GT
32,1962-01-09,5.76556304522923,3.206845283508301,3.125,3.206845283508301,0.05058407783508301,182400,CVX
33,1962-04-02,5.76556304522923,3.519345283508301,3.467261791229248,3.4747023582458496,0.05531669780611992,83200,CVX
34,1962-06-12,5.76556304522923,8.59375,8.25,8.3125,1.462397575378418,43200,GT
35,1962-06-12,5.76556304522923,0.1260850727558136,0.1236979141831398,0.1241319477558136,0.00015334876661654562,2419200,MO
36,1962-12-21,0.7612179517745972,0.7624699473381042,0.7574619650840759,0.7599659562110901,0.0018598124152049422,748800,GE
37,1962-05-17,0.09446313232183456,0.09579359740018845,0.09401964396238327,0.09579359740018845,0.005313047207891941,394500,HPQ
38,1962-07-20,0.07450613379478455,0.07672357559204102,0.07450613379478455,0.07628008723258972,0.004230758175253868,648200,HPQ
39,1962-09-24,1.390625,1.390625,1.3541666269302368,1.3697916269302368,0.11934556812047958,261600,CAT
40,1962-09-05,0.2200520783662796,0.2200520783662796,0.2174479216337204,0.2200520783662796,0.0035945065319538116,806400,KO
41,1962-09-17,0.0717078149318695,0.0717078149318695,0.07108426839113235,0.07108426839113235,0.027427101507782936,155700,DIS
42,1962-10-18,5.76556304522923,5.1875,5.114583492279053,5.114583492279053,0.6769350171089172,30000,FL
